Order id;Date;Status;Season;Brand name;Brand sales person;Collection;Category;Product name;Product reference;Color name;Description;Composition;Fabric / print;Size family name;Size name;EAN13;SKU;Quantity;Unit price;Net amount;Pre-discount amount;Discount rate;Currency
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Buttoned Cardigan;AW26-734;Buttoned Cardigan 107;AW26-734 Buttoned Cardigan Navy 34;100% Merino Wool;;Woman;40;8434525641165;AW26-7341070000401;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Buttoned Cardigan;AW26-734;Buttoned Cardigan 107;AW26-734 Buttoned Cardigan Navy 34;100% Merino Wool;;Woman;42;8434525641172;AW26-7341070000421;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Skirts;Check Skirt;AW26-764;CHECK SKIRT 107;AW26-764 Check Skirt Navy 34;50% Wool  50% Polyester;;Woman;38;8434525644104;AW26-7641070000381;1;66,3;66,00;66,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Embroidered Coat;AW26-609;EMBROIDERED COAT U04;AW26-609 Embroidered Coat Dark Red 34;50% Wool  50% Polyester;;Woman;34;8434525636901;AW26-609U040000341;1;92,2;92,00;92,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Embroidered Coat;AW26-609;EMBROIDERED COAT U04;AW26-609 Embroidered Coat Dark Red 34;50% Wool  50% Polyester;;Woman;36;8434525636918;AW26-609U040000361;1;92,2;92,00;92,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Embroidered Coat;AW26-609;EMBROIDERED COAT U04;AW26-609 Embroidered Coat Dark Red 34;50% Wool  50% Polyester;;Woman;38;8434525636925;AW26-609U040000381;1;92,2;92,00;92,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Embroidered Coat;AW26-609;EMBROIDERED COAT U04;AW26-609 Embroidered Coat Dark Red 34;50% Wool  50% Polyester;;Woman;40;8434525636932;AW26-609U040000401;1;92,2;92,00;92,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Pants;Corduroy Side Panels Berta;AW26-769;CORDUROY SIDE PANELS BERTA M01;AW26-769 Corduroy Side Panels Berta Vanilla 34;100% Cotton;;Woman;36;8434525644548;AW26-769M010000361;1;36,7;36,00;36,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Pants;Corduroy Side Panels Berta;AW26-769;CORDUROY SIDE PANELS BERTA M01;AW26-769 Corduroy Side Panels Berta Vanilla 34;100% Cotton;;Woman;38;8434525644555;AW26-769M010000381;1;36,7;36,00;36,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Pants;Corduroy Side Panels Berta;AW26-769;CORDUROY SIDE PANELS BERTA M01;AW26-769 Corduroy Side Panels Berta Vanilla 34;100% Cotton;;Woman;40;8434525644562;AW26-769M010000401;1;36,7;36,00;36,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Pants;Corduroy Side Panels Berta;AW26-769;CORDUROY SIDE PANELS BERTA M01;AW26-769 Corduroy Side Panels Berta Vanilla 34;100% Cotton;;Woman;42;8434525644579;AW26-769M010000421;1;36,7;36,00;36,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Frank Striped Polo;AW26-844;FRANK STRIPED POLO U45;AW26-844 Frank Striped Polo Grey/Summer Red 34;100% Merino Wool;;Woman;36;8434525648928;AW26-844U450000361;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Frank Striped Polo;AW26-844;FRANK STRIPED POLO U45;AW26-844 Frank Striped Polo Grey/Summer Red 34;100% Merino Wool;;Woman;38;8434525648935;AW26-844U450000381;1;51,5;51,00;51,00;0;EUR
